GNPS_annotation	Curated_GNPS_Annotation	Inchi_whole string	SMILES_canonical	Structural_Class	Structural_Subclass	Structural_Subclass2	Source_GFOP	Source	Source_Sub1	Source_Sub2	Drug_Info_1	Drug_Info_2	Bioactivity_boolean	Bioactivity_Known	Origin_Known	Sample_Type_Detected_In_Food	Sample_Type_Detected_In_HumanFeces	Project_Vital_Foodomics	Project_Vital_AGP1	Comment	Reference
NCGC00347680-02_C26H34O6_Androsta-11,15-diene-14-carboxylic acid, 3,19-epoxy-15-hydroxy-4,4,8,12,16-pentamethyl-17,19-dioxo-, methyl ester	Androsta-11,15-diene-14-carboxylic acid, 3,19-epoxy-15-hydroxy-4,4,8,12,16-pentamethyl-17,19-dioxo-, methyl ester			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00347837-02_C42H58N8O7_1,4,7,10,13,16,19-Heptaazacyclotricosane-2,5,8,11,14,17,20-heptone, 3-(1H-indol-3-ylmethyl)-6,18-dimethyl-15-(1-methylethyl)-9-(2-methylpropyl)-12-(1-phenylethyl)-	1,4,7,10,13,16,19-Heptaazacyclotricosane-2,5,8,11,14,17,20-heptone, 3-(1H-indol-3-ylmethyl)-6,18-dimethyl-15-(1-methylethyl)-9-(2-methylpropyl)-12-(1-phenylethyl)-			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00380083-01!(E)-3-[2,4-dihydroxy-5-(2-methylbut-3-en-2-yl)phenyl]-1-(4-methoxyphenyl)prop-2-en-1-one	(E)-3-[2,4-dihydroxy-5-(2-methylbut-3-en-2-yl)phenyl]-1-(4-methoxyphenyl)prop-2-en-1-one			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00380283-01!4-[5-[[4-[5-[acetyl(hydroxy)amino]pentylamino]-4-oxobutanoyl]-hydroxyamino]pentylamino]-4-oxobutanoic acid	4-[5-[[4-[5-[acetyl(hydroxy)amino]pentylamino]-4-oxobutanoyl]-hydroxyamino]pentylamino]-4-oxobutanoic acid			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00380297-01_C12H17NO4_1,3-Dioxolo[4,5-c]pyridin-4(5H)-one, 2-(1-hydroxy-3-methylbutyl)-6-methyl-	1,3-Dioxolo[4,5-c]pyridin-4(5H)-one, 2-(1-hydroxy-3-methylbutyl)-6-methyl-			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00380299-01!3-hydroxy-4-(3-hydroxyphenyl)-1H-quinolin-2-one	3-hydroxy-4-(3-hydroxyphenyl)-1H-quinolin-2-one			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00380693-01_C25H35NO6_3-[4-({2-[(2E)-2-Buten-2-yl]-6,8-dimethyl-1,2,4a,5,6,7,8,8a-octahydro-1-naphthalenyl}carbonyl)-3-hydroxy-5-oxo-2,5-dihydro-1H-pyrrol-2-yl]-2-hydroxy-2-methylpropanoic acid	3-[4-({2-[(2E)-2-Buten-2-yl]-6,8-dimethyl-1,2,4a,5,6,7,8,8a-octahydro-1-naphthalenyl}carbonyl)-3-hydroxy-5-oxo-2,5-dihydro-1H-pyrrol-2-yl]-2-hydroxy-2-methylpropanoic acid			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00380709-01_C32H36N2O5_(3S,3aR,4S,6S,6aR,7E,10S,11Z,13R,15E,17aR)-6,13-Dihydroxy-3-(1H-indol-3-ylmethyl)-4,10,12-trimethyl-5-methylene-2,3,3a,4,5,6,6a,9,10,13-decahydro-1H-cyclotrideca[d]isoindole-1,14,17-trione	(3S,3aR,4S,6S,6aR,7E,10S,11Z,13R,15E,17aR)-6,13-Dihydroxy-3-(1H-indol-3-ylmethyl)-4,10,12-trimethyl-5-methylene-2,3,3a,4,5,6,6a,9,10,13-decahydro-1H-cyclotrideca[d]isoindole-1,14,17-trione			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00380746-01!1,7-bis(4-hydroxyphenyl)heptane-3,5-diol	1,7-bis(4-hydroxyphenyl)heptane-3,5-diol			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00380823-01!2-(14-methylpentadecanoylamino)-3-phenylpropanoic acid	2-(14-methylpentadecanoylamino)-3-phenylpropanoic acid			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00380912-01!1,10-dihydroxy-3-methylbenzo[c][1]benzoxepine-6,11-dione	1,10-dihydroxy-3-methylbenzo[c][1]benzoxepine-6,11-dione			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00380935-01_C23H23N5O4_(3Z)-6-Hydroxy-3-(1H-imidazol-5-ylmethylene)-12-methoxy-7a-(2-methyl-3-buten-2-yl)-7a,12-dihydro-1H,5H-imidazo[1',2':1,2]pyrido[2,3-b]indole-2,5(3H)-dione	(3Z)-6-Hydroxy-3-(1H-imidazol-5-ylmethylene)-12-methoxy-7a-(2-methyl-3-buten-2-yl)-7a,12-dihydro-1H,5H-imidazo[1',2':1,2]pyrido[2,3-b]indole-2,5(3H)-dione			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00381308-01_C47H76O17_(3beta,5xi,9xi,18xi,22beta)-22,25-Dihydroxyolean-12-en-3-yl 6-deoxy-alpha-L-mannopyranosyl-(1->2)-beta-D-xylopyranosyl-(1->2)-beta-D-glucopyranosiduronic acid	(3beta,5xi,9xi,18xi,22beta)-22,25-Dihydroxyolean-12-en-3-yl 6-deoxy-alpha-L-mannopyranosyl-(1->2)-beta-D-xylopyranosyl-(1->2)-beta-D-glucopyranosiduronic acid			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00381406-01!2-heptyl-3,6-dihydroxy-5-(3-methylbut-2-enyl)benzaldehyde	2-heptyl-3,6-dihydroxy-5-(3-methylbut-2-enyl)benzaldehyde			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00384584-01_C51H82O23_(3beta,9xi,22S,25S)-26-(beta-D-Glucopyranosyloxy)-22,25-epoxyfurost-5-en-3-yl 6-deoxy-alpha-L-mannopyranosyl-(1->4)-beta-D-glucopyranosyl-(1->2)-beta-D-glucopyranoside	(3beta,9xi,22S,25S)-26-(beta-D-Glucopyranosyloxy)-22,25-epoxyfurost-5-en-3-yl 6-deoxy-alpha-L-mannopyranosyl-(1->4)-beta-D-glucopyranosyl-(1->2)-beta-D-glucopyranoside			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00385110-01_C20H38O2_(2R)-1-(5-Hydroxy-3-methylpentyl)-2,5,5,8a-tetramethyldecahydro-2-naphthalenol	(2R)-1-(5-Hydroxy-3-methylpentyl)-2,5,5,8a-tetramethyldecahydro-2-naphthalenol			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00385123-01_C22H30O6_7b,9-Dihydroxy-3-(hydroxymethyl)-1,1,6,8-tetramethyl-5-oxo-1,1a,1b,4,4a,5,7a,7b,8,9-decahydro-9aH-cyclopropa[3,4]benzo[1,2-e]azulen-9a-yl acetate	7b,9-Dihydroxy-3-(hydroxymethyl)-1,1,6,8-tetramethyl-5-oxo-1,1a,1b,4,4a,5,7a,7b,8,9-decahydro-9aH-cyclopropa[3,4]benzo[1,2-e]azulen-9a-yl acetate			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00385223-01!(2R,3S)-7-[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5-diol	(2R,3S)-7-[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5-diol			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00385377-01_C19H32O7_4-(2,6,6-Trimethyl-4-oxo-2-cyclohexen-1-yl)-2-butanyl beta-D-glucopyranoside	4-(2,6,6-Trimethyl-4-oxo-2-cyclohexen-1-yl)-2-butanyl beta-D-glucopyranoside			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00385557-01_C48H76O18_	NCGC00385557-01_C48H76O18_	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural products database hit	natural products database hit	literature limited	literature limited				yes	yes	yes	yes	literature limited	literature limited
NCGC00385604-02!5,7-dihydroxy-2-(4-hydroxyphenyl)-6,8-bis[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one	5,7-dihydroxy-2-(4-hydroxyphenyl)-6,8-bis[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00385642-01!1,4-dihydroxyheptadec-16-en-2-yl acetate	1,4-dihydroxyheptadec-16-en-2-yl acetate			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00385682-01_C30H48O4_(2alpha,3beta,5xi,9xi,18xi)-2,3-Dihydroxyolean-12-en-28-oic acid	(2alpha,3beta,5xi,9xi,18xi)-2,3-Dihydroxyolean-12-en-28-oic acid			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00385844-01_C15H28O2_7-(2-Hydroxy-2-propanyl)-1,4a-dimethyldecahydro-1-naphthalenol	7-(2-Hydroxy-2-propanyl)-1,4a-dimethyldecahydro-1-naphthalenol			TO DO			unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		
NCGC00385962-01_C16H24O3_	NCGC00385962-01_C16H24O3_	literature limited	literature limited	literature limited	literature limited	literature limited	unknown	unknown	natural products database hit	natural products database hit	literature limited	literature limited				yes	yes	yes	yes	literature limited	literature limited
NCGC00386027-01_C27H42O3_Spirost-5-en-3-ol, (3beta,25R)-	Spirost-5-en-3-ol, (3beta,25R)-	InChI=1S/C27H42O3/c1-16-7-12-27(29-15-16)17(2)24-23(30-27)14-22-20-6-5-18-13-19(28)8-10-25(18,3)21(20)9-11-26(22,24)4/h5,16-17,19-24,28H,6-15H2,1-4H3/t16-,17+,19+,20-,21-,22+,23+,24+,25+,26+,27-/m1/s1	CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)O)C)C)C)OC1				unknown	unknown	natural products database hit	natural products database hit						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/124485504
Nefiracetam	Nefiracetam	InChI=1S/C14H18N2O2/c1-10-5-3-6-11(2)14(10)15-12(17)9-16-8-4-7-13(16)18/h3,5-6H,4,7-9H2,1-2H3,(H,15,17)	CC1=C(C(=CC=C1)C)NC(=O)CN2CCCC2=O	drug	drug		drug	drug	drug	drug	nootropic antidementia drug		yes	pharmaceutical		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/71157
Neochlorogenic acid	Neochlorogenic acid	InChI=1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(20)25-12-7-16(24,15(22)23)6-11(19)14(12)21/h1-5,11-12,14,17-19,21,24H,6-7H2,(H,22,23)/b4-2+/t11-,12-,14+,16-/m1/s1	C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O			cinnamate ester	food	food	food	plant						yes	yes	yes	yes	chlorogenic acid related	https://en.wikipedia.org/wiki/Neochlorogenic_acid ; https://pubchem.ncbi.nlm.nih.gov/compound/Neochlorogenic_acid
neoechinulin A	Neoechinulin A	InChI=1S/C19H21N3O2/c1-5-19(3,4)16-13(12-8-6-7-9-14(12)21-16)10-15-18(24)20-11(2)17(23)22-15/h5-11,21H,1H2,2-4H3,(H,20,24)(H,22,23)/b15-10-/t11-/m0/s1	CC1C(=O)NC(=CC2=C(NC3=CC=CC=C32)C(C)(C)C=C)C(=O)N1		alkaloid	indole alkaloid	mycotoxin	fungi	fungi produced	mycotoxin			yes	mycotoxin		yes	yes	yes	yes		https://www.ncbi.nlm.nih.gov/pubmed/17965477 ; https://pubchem.ncbi.nlm.nih.gov/compound/neoechinulin_A#section=Classification
MLS000877030-01!Nobiletin478-01-3	Nobiletin	InChI=1S/C21H22O8/c1-23-13-8-7-11(9-15(13)24-2)14-10-12(22)16-17(25-3)19(26-4)21(28-6)20(27-5)18(16)29-14/h7-10H,1-6H3	COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC	phytochemical	flavone		food	food	food	plant					citrus	yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/72344#section=Top
Nobiletin	Nobiletin	InChI=1S/C21H22O8/c1-23-13-8-7-11(9-15(13)24-2)14-10-12(22)16-17(25-3)19(26-4)21(28-6)20(27-5)18(16)29-14/h7-10H,1-6H3	COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC	phytochemical	flavone		food	food	food	plant					citrus	yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/72344#section=Top
Spectral Match to Nobiletin from NIST14	Nobiletin	InChI=1S/C21H22O8/c1-23-13-8-7-11(9-15(13)24-2)14-10-12(22)16-17(25-3)19(26-4)21(28-6)20(27-5)18(16)29-14/h7-10H,1-6H3	COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC	phytochemical	flavone		food	food	food	plant					citrus	yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/72344#section=Top
Nonactin	Nonactin	InChI=1S/C40H64O12/c1-21-17-29-9-13-34(49-29)26(6)38(42)46-23(3)19-31-11-15-36(51-31)28(8)40(44)48-24(4)20-32-12-16-35(52-32)27(7)39(43)47-22(2)18-30-10-14-33(50-30)25(5)37(41)45-21/h21-36H,9-20H2,1-8H3/t21-,22+,23+,24-,25-,26+,27+,28-,29-,30+,31+,32-,33-,34+,35+,36-	CC1CC2CCC(O2)C(C(=O)OC(CC3CCC(O3)C(C(=O)OC(CC4CCC(O4)C(C(=O)OC(CC5CCC(O5)C(C(=O)O1)C)C)C)C)C)C)C		polyketide	macrolide	antimicrobial	environmental	environmental	biocide						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/nonactin
Nonapropylene glycol	Nonapropylene glycol	literature limited	literature limited	literature limited	literature limited	literature limited	environmental	environmental	environmental	surfactant	literature limited	literature limited				yes	yes	yes	yes	literature limited	literature limited
Northiaden	Northiaden	InChI=1S/C18H19NS/c1-19-12-6-10-16-15-8-3-2-7-14(15)13-20-18-11-5-4-9-17(16)18/h2-5,7-11,19H,6,12-13H2,1H3/b16-10+	CNCCC=C1C2=CC=CC=C2CSC3=CC=CC=C31	drug	drug		drug	drug	drug metabolite	drug metabolite	tricyclic antidepressants	dosulepin metabolite	yes	pharmaceutical		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/nordothiepin#section=Top
Nortriptyline	Nortriptyline	InChI=1S/C19H21N/c1-20-14-6-11-19-17-9-4-2-7-15(17)12-13-16-8-3-5-10-18(16)19/h2-5,7-11,20H,6,12-14H2,1H3	CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31	drug	drug		drug	drug	drug	drug	tricyclic antidepressants		yes	pharmaceutical		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/4543#section=Top
Spectral Match to Nortriptyline from NIST14	Nortriptyline	InChI=1S/C19H21N/c1-20-14-6-11-19-17-9-4-2-7-15(17)12-13-16-8-3-5-10-18(16)19/h2-5,7-11,20H,6,12-14H2,1H3	CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31	drug	drug		drug	drug	drug	drug	tricyclic antidepressants		yes	pharmaceutical		yes	yes	yes	yes		https://www.drugs.com/nortriptyline.html
MoNA:692831 Nystatin	Nystatin	InChI=1S/C47H75NO17/c1-27-17-15-13-11-9-7-5-6-8-10-12-14-16-18-34(64-46-44(58)41(48)43(57)30(4)63-46)24-38-40(45(59)60)37(54)26-47(61,65-38)25-36(53)35(52)20-19-31(49)21-32(50)22-33(51)23-39(55)62-29(3)28(2)42(27)56/h5-6,8,10-18,27-38,40-44,46,49-54,56-58,61H,7,9,19-26,48H2,1-4H3,(H,59,60)/b6-5+,10-8+,13-11+,14-12+,17-15+,18-16+/t27-,28-,29-,30+,31?,32?,33?,34?,35?,36?,37?,38?,40?,41-,42+,43+,44-,46+,47+/m0/s1	CC1C=CC=CCCC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(C(CCC(CC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O	drug	drug		antimicrobial	drug	drug	drug	antifungal		yes	pharmaceutical		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/6433272#section=Top
Spectral Match to O-Desmethylvenlafaxine from NIST14	O-Desmethylvenlafaxine	InChI=1S/C16H25NO2/c1-17(2)12-15(13-6-8-14(18)9-7-13)16(19)10-4-3-5-11-16/h6-9,15,18-19H,3-5,10-12H2,1-2H3	CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O	drug	drug		drug	drug	drug metabolite	drug metabolite	selective serotonin and norepinephrine reuptake inhibitor	venlafaxine metabolite	yes	pharmaceutical		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/125017
Octadecenoic acid	Octadecenoic acid	InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)	CCCCCCCCC=CCCCCCCCC(=O)O	lipid	fatty acid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/965#section=Top
MassbankEU:SM814103 Octocrylene|2-Ethylhexyl 2-cyano-3,3-diphenylprop-2-enoate|2-Ethylhexyl 2-cyano-3,3-diphenylacrylate	Octocrylene	InChI=1S/C24H27NO2/c1-3-5-12-19(4-2)18-27-24(26)22(17-25)23(20-13-8-6-9-14-20)21-15-10-7-11-16-21/h6-11,13-16,19H,3-5,12,18H2,1-2H3	CCCCC(CC)COC(=O)C(=C(C1=CC=CC=C1)C2=CC=CC=C2)C#N				environmental	environmental	personal care products	UV protectant						yes	yes	yes	yes	sunscreens and cosmetics	https://pubchem.ncbi.nlm.nih.gov/compound/22571
MoNA:594132 Octocrylene	Octocrylene	InChI=1S/C24H27NO2/c1-3-5-12-19(4-2)18-27-24(26)22(17-25)23(20-13-8-6-9-14-20)21-15-10-7-11-16-21/h6-11,13-16,19H,3-5,12,18H2,1-2H3	CCCCC(CC)COC(=O)C(=C(C1=CC=CC=C1)C2=CC=CC=C2)C#N				environmental	environmental	personal care products	UV protectant						yes	yes	yes	yes	sunscreens and cosmetics	https://pubchem.ncbi.nlm.nih.gov/compound/22571
Octocrylene	Octocrylene	InChI=1S/C24H27NO2/c1-3-5-12-19(4-2)18-27-24(26)22(17-25)23(20-13-8-6-9-14-20)21-15-10-7-11-16-21/h6-11,13-16,19H,3-5,12,18H2,1-2H3	CCCCC(CC)COC(=O)C(=C(C1=CC=CC=C1)C2=CC=CC=C2)C#N				environmental	environmental	personal care products	UV protectant						yes	yes	yes	yes	sunscreens and cosmetics	https://pubchem.ncbi.nlm.nih.gov/compound/22571
Oflaxacin	Ofloxacin	InChI=1S/C18H20FN3O4/c1-10-9-26-17-14-11(16(23)12(18(24)25)8-22(10)14)7-13(19)15(17)21-5-3-20(2)4-6-21/h7-8,10H,3-6,9H2,1-2H3,(H,24,25)	CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O	drug	drug		antimicrobial	drug	drug	drug	antibiotic		yes	pharmaceutical		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/4583
Oleamide	Oleamide	InChI=1S/C18H35NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H2,19,20)/b10-9-	CCCCCCCCC=CCCCCCCCC(=O)N	lipid	fatty amide		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/5283387#section=Top
Spectral Match to 9-Octadecenamide, (Z)- from NIST14	Oleamide	InChI=1S/C18H35NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H2,19,20)/b10-9-	CCCCCCCCC=CCCCCCCCC(=O)N	lipid	fatty amide		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/5283387#section=Top
Spectral Match to Oleanolic acid from NIST14	Oleanolic acid	InChI=1S/C30H48O3/c1-25(2)14-16-30(24(32)33)17-15-28(6)19(20(30)18-25)8-9-22-27(5)12-11-23(31)26(3,4)21(27)10-13-29(22,28)7/h8,20-23,31H,9-18H2,1-7H3,(H,32,33)/t20-,21-,22+,23-,27-,28+,29+,30-/m0/s1	CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C(=O)O)C	lipid	isoprenoid	terpenoid	food	food	food	plant						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/oleanolic_acid#section=Top
Oleic acid	Oleic acid	InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9-	CCCCCCCCC=CCCCCCCCC(=O)O	lipid	fatty acid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/445639#section=Top
Oligomycin A	Oligomycin A	InChI=1S/C45H74O11/c1-12-34-17-15-13-14-16-27(4)42(51)44(11,53)43(52)32(9)40(50)31(8)39(49)30(7)38(48)26(3)18-21-37(47)54-41-29(6)35(20-19-34)55-45(33(41)10)23-22-25(2)36(56-45)24-28(5)46/h13-15,17-18,21,25-36,38,40-42,46,48,50-51,53H,12,16,19-20,22-24H2,1-11H3/b14-13+,17-15+,21-18+/t25-,26-,27+,28+,29+,30-,31-,32-,33-,34-,35-,36-,38+,40+,41+,42-,44+,45-/m1/s1	CCC1CCC2C(C(C(C3(O2)CCC(C(O3)CC(C)O)C)C)OC(=O)C=CC(C(C(C(=O)C(C(C(C(=O)C(C(C(CC=CC=C1)C)O)(C)O)C)O)C)C)O)C)C			macrolide	antimicrobial	environmental	environmental	biocide			yes	antimicrobial		yes	yes	yes	yes		
.omega.-3 Arachidonic acid	omega-3 Arachidonic acid			lipid	fatty acid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		
Spectral Match to .omega.-3 Arachidonic acid from NIST14	omega-3 Arachidonic acid			lipid	fatty acid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		
Spectral Match to .omega.-3 Arachidonic acid ethyl ester from NIST14	omega-3 Arachidonic acid ethyl ester	InChI=1S/C22H36O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24-4-2/h5-6,8-9,11-12,14-15H,3-4,7,10,13,16-21H2,1-2H3/b6-5-,9-8-,12-11-,15-14-	CCC=CCC=CCC=CCC=CCCCCCCC(=O)OCC	lipid	fatty acid ester		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://www.caymanchem.com/product/10009348
Spectral Match to Orlistat from NIST14	Orlistat	InChI=1S/C29H53NO5/c1-5-7-9-11-12-13-14-15-16-18-24(34-29(33)26(30-22-31)20-23(3)4)21-27-25(28(32)35-27)19-17-10-8-6-2/h22-27H,5-21H2,1-4H3,(H,30,31)/t24-,25-,26-,27-/m0/s1	CCCCCCCCCCCC(CC1C(C(=O)O1)CCCCCC)OC(=O)C(CC(C)C)NC=O	drug	drug		drug	drug	drug	drug	lipase inhibitor		yes	pharmaceutical		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/3034010#section=Top
Oxandrolone	Oxandrolone	InChI=1S/C19H30O3/c1-17-11-22-16(20)10-12(17)4-5-13-14(17)6-8-18(2)15(13)7-9-19(18,3)21/h12-15,21H,4-11H2,1-3H3/t12-,13+,14-,15-,17-,18-,19-/m0/s1	CC12CCC3C(C1CCC2(C)O)CCC4C3(COC(=O)C4)C	drug	drug		drug	drug	drug	drug	steroid		yes	pharmaceutical		yes	yes	yes	yes	drug for gaining weight	https://pubchem.ncbi.nlm.nih.gov/compound/5878#section=Top
2-Hydroxy-4-methoxybenzophenone	Oxybenzone	InChI=1S/C14H12O3/c1-17-11-7-8-12(13(15)9-11)14(16)10-5-3-2-4-6-10/h2-9,15H,1H3	COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O			benzophenone	environmental	environmental	personal care products	UV protectant						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/4632
Oxycodone	Oxycodone	InChI=1S/C18H21NO4/c1-19-8-7-17-14-10-3-4-12(22-2)15(14)23-16(17)11(20)5-6-18(17,21)13(19)9-10/h3-4,13,16,21H,5-9H2,1-2H3/t13-,16+,17+,18-/m1/s1	CN1CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)OC)O4)O	drug	drug		drug	drug	drug	drug	opioid		yes	pharmaceutical		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/5284603
p-Acetamidophenyl .beta.-D-glucuronide	p-Acetamidophenyl beta-D-glucuronide	InChI=1S/C14H17NO8.Na/c1-6(16)15-7-2-4-8(5-3-7)22-14-11(19)9(17)10(18)12(23-14)13(20)21;/h2-5,9-12,14,17-19H,1H3,(H,15,16)(H,20,21);/q;+1/p-1/t9-,10-,11+,12-,14+;/m0./s1	CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)C(=O)[O-])O)O)O.[Na+]	drug	drug		drug	drug	drug metabolite	drug metabolite	analgesic	acetaminophen metabolite	yes	pharmaceutical		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/23677081
Spectral Match to Palmatine cation from NIST14	Palmatine	InChI=1S/C21H22NO4/c1-23-18-6-5-13-9-17-15-11-20(25-3)19(24-2)10-14(15)7-8-22(17)12-16(13)21(18)26-4/h5-6,9-12H,7-8H2,1-4H3/q+1	COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC	phytochemical	alkaloid		food	food	food	plant						yes	yes	yes	yes	berberine related	https://pubchem.ncbi.nlm.nih.gov/compound/19009
Palmitamide	Palmitamide	InChI=1S/C16H33NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H2,17,18)	CCCCCCCCCCCCCCCC(=O)N	lipid	fatty amide		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/69421#section=Top
Spectral Match to Palmitamide from NIST14	Palmitamide	InChI=1S/C16H33NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H2,17,18)	CCCCCCCCCCCCCCCC(=O)N	lipid	fatty amide		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/69421#section=Top
